race_id,max_verstappen,norris,leclerc,piastri,sainz,russell,hamilton,perez,alonso,gasly,hulkenberg,tsunoda,stroll,ocon,kevin_magnussen,albon,ricciardo,bearman,colapinto,zhou,lawson,bottas,sargeant,doohan
bahrein_2024,1996.4766903938557,1369.6734805552542,1478.9579601999847,1320.5173899987856,1312.7910235475135,1429.466310042287,1335.1869662602462,1536.7806571875954,1297.1468842159982,987.5251187686015,934.4308768029358,1088.5192435931237,1262.2239094270753,1048.4493332839452,970.3530490018545,1012.0824543429508,1103.6624702814054,,,1044.2011926889925,,786.5547551108507,833.2023740213206,
jeddah_2024,2005.4854761498234,1342.5502613136634,1534.6229662344638,1412.000585430769,,1425.9456564167012,1299.1522802640175,1600.1850859429458,1371.9716900100527,828.5202025747909,1063.4834848990943,1012.499815494861,989.6403325241471,1056.6139376024544,1038.705554838559,1084.0270113601387,999.6126949244804,1163.1035551887464,,908.1552522300839,,794.411666200091,904.7236065771795,
australia_2024,1456.6057528712324,1466.3642622733391,1609.5120024212151,1483.4254157240093,1486.5241865172036,1119.729125992706,1045.3142504700488,1579.2662117262862,1360.3416570919564,924.7405068652243,1168.3425381441061,1181.8326929092175,1189.587545861068,958.5435395416914,1121.78424295664,1116.028103730704,1041.1374738387938,,,904.6640575108562,,866.6314115123522,,
japan_2024,1575.6240974882307,1482.1028720453933,1595.5072316811852,1420.4686213074951,1543.7933468195158,1240.635845740848,1158.0701492468215,1629.8491031332792,1391.2066017983598,914.0538403337057,1171.3801280183282,1201.54292578505,1156.2718441728734,951.8763668051901,1095.3768480720028,899.0523970234705,893.9868867394019,,,849.6599557017945,,936.3947817315308,878.2447408913529,
china_2024,1661.982023558285,1574.3475481966314,1593.6570185014566,1386.6820289287227,1537.8509494612501,1330.9572470705034,1215.5141743242248,1647.1377937196626,1390.7395579844056,977.1610200365845,1194.1915292801432,965.5239030012013,1059.7471992267633,1053.3276348430368,1001.1645139483381,994.9486929550526,829.8844276263923,,,914.5027364319498,,802.048884634404,853.7297008068207,
miami_2024,1703.6051490210448,1665.0766639900903,1628.0618243310957,1236.6244976368905,1539.8915067155765,1334.9999650318919,1316.8362303423874,1638.9921907467162,1341.603267136612,1036.865916662807,1177.011700724781,1140.0241869667484,945.5144147761685,1122.293641231659,862.7961067507975,889.6089176239369,876.623174061453,,,954.7124378100953,,825.0168420566304,748.9399509184448,
imola_2024,1763.5274277192245,1708.3847523534896,1655.620772984086,1376.1364448382074,1541.4870593331482,1363.0181287047146,1375.3186180579687,1523.6276779082848,1031.4527029100243,965.7097720014916,1179.0698309305128,1182.5390750667968,1092.1098558815286,1059.9982566447763,968.4550036815264,767.9506976656585,949.9234547881354,,,939.3283875891173,,778.9931603351407,762.447505141994,
monaco_2024,1671.7388400386312,1688.1672538801006,1732.3550123567366,1512.2213741030675,1593.5479147222234,1429.4898764569587,1390.3645272457552,1155.679169637953,1092.2552134176447,1073.5376587251908,953.196168548682,1254.6970273467289,1041.5268506977507,938.9835906469466,828.1017459575127,990.5386032640035,1023.051047527561,,,899.710619848559,,892.1755707194791,823.7605193943405,
canada_2024,1741.3720251937539,1725.9986004924879,1252.6501742188802,1527.4547016828997,1256.8047630169428,1531.404425745126,1477.3371704856374,981.5391328952103,1255.6071356942139,1163.8175424855208,1049.8357227035688,1125.8043419738055,1201.277276332104,1064.80885675667,951.2970328945934,911.9857984410219,1157.5743019442873,,,908.2736391361312,,957.8832852836243,742.3726571593464,
spain_2024,1785.5326583644337,1745.7206443832533,1355.4685299253351,1473.7007575007212,1335.640050944755,1549.2506177699495,1540.1178680962137,1138.503899566178,1186.4318822287462,1212.5117775416074,1100.2748594219402,926.9209797292784,1108.01109594398,1138.5025202687073,891.9138311259507,844.58065728375,1062.9515653079277,,,982.9473613785212,,925.8831660928238,680.2338616617538,
