race_id,hamilton,vettel,bottas,raikkonen,ricciardo,max_verstappen,perez,ocon,sainz,hulkenberg,massa,stroll,grosjean,kevin_magnussen,alonso,vandoorne,jolyon_palmer,wehrlein,kvyat,ericsson,gasly,giovinazzi,brendon_hartley,button,resta
hungaroring_2017,1610.6490717517574,1617.483633387597,1624.0495175846584,1473.0195360195228,1073.2328541506006,1222.741333339262,1227.6051742854586,1244.4098036182963,1032.4522307929067,959.1120407939172,,979.6682698321284,888.4731420955201,1002.7528770978835,1052.823761830258,1102.9710629510546,915.418666790886,884.1049576861311,962.3702218031461,886.387797687295,,,,,859.6422372864912
spa_2017,1668.4490447800613,1645.8924604227477,1567.1364777945867,1490.1390517853768,1264.3431306896205,954.4609866926323,1008.3319779770248,1233.2347795051521,1107.1618867109737,1153.3445661590022,1171.865791629362,1048.6770184529994,1083.0638191782994,942.0049358507615,892.9350705018483,1022.4687729819177,960.2749028972005,765.0192583091164,1015.7662013130348,862.8063869980583,,,,,
monza_2017,1714.9172713170942,1641.7001607182842,1610.5256577091468,1477.2701244745654,1357.2474002286215,1058.0606507549628,1100.5854400345731,1289.1008198104553,1029.3987094990462,1074.9729113912347,1206.7031580396176,1163.6890951239718,993.1724978903409,1019.5178308715248,838.8353794811751,849.9056094959805,795.3052927378496,800.1441352352658,1036.9365984394258,799.3877773766375,,,,,
marina_bay_2017,1756.3834220098233,1192.6513812802864,1622.9349356617056,1062.1101337911098,1479.9688231620198,883.3787481385627,1261.973281198659,1225.950485837476,1242.8234322784456,1015.413276387706,1159.134568742756,1210.321241923264,1097.6716469362027,1013.5205650558421,810.8514927745264,1072.2336811917655,1064.9431989717975,917.1883723056804,928.2899366092881,839.6338963728574,,,,,
sepang_2017,1752.96499693958,1318.296088018353,1564.276163626026,861.7175212760254,1516.1122548811918,1210.6397452501415,1310.1569082707572,1190.098482551289,959.6441431717132,943.6371680639845,1190.4525431816298,1238.8062921265328,1063.9643577123868,1047.9954226885984,963.5495044298879,1189.826841739756,979.6737415332249,857.4921629144277,,785.459266008251,984.3229796367301,,,,
suzuka_2017,1780.4285022604136,1004.3394608060426,1554.51024477876,1129.944710782466,1542.989495489888,1370.711441474573,1316.840705665306,1273.0307846206028,804.5400065187272,869.9759316822319,1181.3229058551988,1035.8723550162301,1148.5134219631173,1162.5378003744527,1043.8287058412914,1064.5987930464219,1025.5266780121526,871.1496371980726,,751.0977329932381,997.3272696413012,,,,
americas_2017,1805.1554087268944,1254.1765860327937,1518.2546770245867,1300.3117774854443,1138.093107029556,1424.696634629755,1299.6972332974233,1322.4005871101826,1046.9268202588796,749.887189865668,1201.0148371285954,1073.5824731332548,1044.0137025176507,998.7882883879803,921.5506121828208,1073.4935665698365,,786.1290510035935,1056.0993035196796,812.8511447734818,,,1007.3995722982451,,
rodriguez_2017,1583.8656146524738,1358.1777286775452,1569.4326917353678,1403.095999958657,893.4738639078091,1530.7913055468073,1308.049292577702,1372.7125055720394,953.103634474447,703.1134742623096,1165.0826662774634,1214.0698251974604,974.147131010239,1128.057102318958,1040.3613458220382,1067.3612594731594,,852.5480561785885,,791.241518781253,997.4681198749729,,869.5974027986509,,
interlagos_2017,1571.1146100164697,1493.9758201902232,1608.3925636804001,1471.7581173169172,1110.345952100111,1501.319028302607,1263.1601334497195,1054.7927040587208,1035.642278777036,909.6296563824679,1233.632051286724,1024.399602339724,930.0472124898207,884.5152923308513,1147.420459457412,884.0491639919742,,900.3375856434028,,892.2975681334167,1032.0556585422044,,826.8650806077399,,
yas_marina_2017,1612.7132072982602,1533.9497737325962,1664.3082142709854,1491.793811926622,871.5170393312745,1487.7538861444461,1292.1648095475034,1156.0149169366957,855.1690008641274,1120.4317892825031,1195.579765770606,870.4273423921301,1022.1388096031964,943.5857851080074,1177.2194236318353,964.4540869457961,,917.7154733054914,,821.0599203931024,926.2693648715436,,851.4841177412197,,
