race_id,max_verstappen,hamilton,bottas,perez,sainz,norris,leclerc,ricciardo,gasly,alonso,ocon,vettel,stroll,tsunoda,russell,raikkonen,latifi,giovinazzi,mick_schumacher,kubica,mazepin
Bahrain Grand Prix_2021,1584.394047126182,1814.5517166190982,1490.504492216634,1149.3549580227611,1353.8790077805634,1446.4371675174243,1277.9379604551991,1343.3972764339867,1029.4131884176838,866.1946975649226,1112.7053172526425,1012.6990862532095,1123.3231666316506,1120.8513170552972,971.6962681449123,1088.7380418008652,817.670397108267,971.5342734280401,934.0852294015147,,835.7023757812549
Emilia Romagna Grand Prix_2021,1654.7692771988977,1808.1499942892247,1126.6706115552993,1156.2755278702368,1405.967846177659,1512.086184876718,1381.139201402709,1370.2068437324162,1175.2662215668418,1015.4852436305617,1162.7703230516158,965.7188897772413,1193.5117765442524,1100.2941090166325,838.3080312327074,1061.4378655014434,725.08784141057,975.7284269911473,901.8352719504744,,814.360497235461
Portuguese Grand Prix_2021,1684.6765684322106,1834.249816296964,1315.4217842733103,1307.6340030415713,1279.596856719399,1501.145895324381,1393.4569695000923,1308.4140435836034,1183.3952938485652,1140.3075408498232,1242.183573837014,993.3720181331778,1086.6855490046605,1016.861807123839,847.0221564105321,854.5502525917699,719.024174692286,1032.5364819822078,858.7366484312911,,745.7985509354121
Spanish Grand Prix_2021,1709.5580303052511,1858.345518488972,1431.1405610679726,1377.014319440777,1313.00281912134,1419.0105472375603,1453.4920268440778,1352.346770630749,1187.8469837997689,976.1794605584099,1248.3063804921449,1008.4681021057219,1112.1580364844715,825.90193641605,901.4487297677877,953.0486607690628,758.2926435697099,972.5298605973031,794.3265729183192,,692.6520243966609
Monaco Grand Prix_2021,1760.762512321399,1700.4382820682615,1062.3360006712753,1456.2589618028176,1462.3992265467666,1500.9324512132087,1055.0543821884285,1226.4579612255907,1296.8383376071606,1005.5608002648611,1257.2700933757815,1216.167518058855,1203.3207662015197,833.3322125849683,932.5344444857826,1030.9475619700909,814.8118875361655,1068.8454084305974,747.0319078854604,,713.7692685731199
Azerbaijan Grand Prix_2021,1291.3293505797253,1341.830565604613,1078.3734405882178,1580.7141037394795,1393.417371680685,1498.6194176158463,1265.1356642793567,1241.7471951185412,1422.0303041160744,1190.6166803891472,971.8688897630775,1401.2259815193618,973.6318557162905,1076.1466843971873,875.9220894062732,1114.808003350628,834.4059259436161,1102.9275204269652,872.998481139382,,817.3204596376428
French Grand Prix_2021,1460.6895591448495,1465.3154728938537,1275.2607284277394,1584.720036171681,1269.6209205527853,1486.8711135136305,1081.832942734001,1323.3703640342585,1393.2995339984852,1246.7672395107659,986.9856656195878,1328.4374307852615,1080.7602818218027,1061.243217634867,976.0920068625243,978.4411638010538,797.7893887238379,1025.7413638100136,793.3381358235557,,728.4934191475558
Styrian Grand Prix_2021,1567.1169561893394,1545.1201881493716,1408.170456927519,1569.8190826735076,1337.3765820295234,1481.946301597523,1209.6160576176303,1177.3941414635972,1017.5179056883821,1258.0864179020684,997.6973712257153,1216.1977038621321,1196.6069529471781,1132.941905368999,842.011484427019,1061.2229489936626,796.3565357940613,989.65384935267,822.3288031473983,,717.8883396548107
Austrian Grand Prix_2021,1641.4134115209927,1548.5071206087637,1510.8290879250842,1512.8672145958196,1398.5472992339514,1531.6354797731217,1258.1909955867511,1260.220295343508,1125.9374069445812,1229.9607673228495,817.7262668432991,1019.0652289414719,1127.4579825730762,1121.8678081454723,982.1724355577219,996.1771121609987,817.6582642811937,987.3916935088946,778.6715729945736,,678.7725411499842
British Grand Prix_2021,1151.7219563655474,1640.5949481917332,1560.6520786884205,1198.0494475332619,1422.760285558032,1552.633218013057,1432.8849728395014,1362.587119818063,1142.0513270053982,1298.065757069878,1012.9211905471595,860.871858345875,1213.592951168832,1157.9830737297507,1034.2722828802664,954.6982054225193,882.6998890495823,1008.0718445234709,746.601293595205,,711.3562846665558
