race_id,max_verstappen,leclerc,perez,russell,sainz,hamilton,norris,ocon,alonso,bottas,ricciardo,vettel,kevin_magnussen,gasly,stroll,mick_schumacher,tsunoda,zhou,albon,latifi,de_vries,hulkenberg
Austrian Grand Prix_2022,1636.269287540577,1506.243544889461,1031.3418910109535,1345.3451709014234,1133.8389874550717,1583.4595524343893,1319.7868066912545,1301.5374210164946,1295.0316824041888,1138.4469324954146,1197.5931298092182,1044.3082624643469,1169.7161291303482,999.793925681661,1106.6870709948603,1239.6089694251727,936.5314728608777,964.5153419724479,1000.0668489813968,889.7639729645945,,
French Grand Prix_2022,1688.6001953183777,1123.7479691539445,1268.5216337256695,1448.8508131097472,1294.0702946540757,1619.6479078050952,1340.7756055556276,1309.0030977474391,1348.9133995578036,1076.3737166709677,1234.5891134094647,1108.7217923000615,977.3329636195824,1065.7924623496422,1165.2867092845484,1097.253854092523,820.948261429559,943.0602687310663,1040.0798424572686,868.3165001516888,,
Hungarian Grand Prix_2022,1731.2796877177177,1269.2890503594485,1360.6544491929458,1506.5964442077088,1390.4616766282943,1647.9709034851246,1352.2715424175888,1288.4393176591252,1333.1444037029073,880.2803475941571,1097.1358933033443,1172.5885185894447,947.7032486183621,1097.131021181752,1172.809770820184,1054.104653178271,762.5904009289139,1002.4206009829621,950.2470025906442,822.7674679652557,,
Belgian Grand Prix_2022,1771.1933040554457,1345.2980487078275,1488.1091951956298,1528.790279975206,1479.5165532131875,1161.4766325419635,1235.4323010578667,1341.9782921108017,1408.7275589212243,800.6779877827821,1028.9822685525983,1255.970976896045,925.101649580912,1188.789546918858,1167.749923907264,955.8477684278726,891.3475451190268,1001.287483780314,1076.5439052231065,787.0651791562212,,
Dutch Grand Prix_2022,1802.3111710042747,1457.9065892616384,1495.62405865686,1593.005579912182,1413.9955116776548,1326.341142054074,1298.3503819793239,1310.950770579753,1419.1438174594375,746.2578964624159,936.6552293807875,1131.6295420854503,935.796501664032,1186.2616007107367,1201.615285569317,997.4513067240983,775.5738820807833,949.500272737125,1098.3559595462477,763.1599015779619,,
Italian Grand Prix_2022,1831.8560517014207,1555.5894440744364,1480.732457390989,1619.845202426086,1478.3092507432812,1399.9873393324092,1337.887985589144,1228.7588405536515,1072.0179204375502,864.0693738749194,872.256537129594,913.1306084379689,903.9208027204583,1258.3623564300374,998.2479734334615,1048.2325538922692,868.5481746317699,1065.1655241134272,,825.2970698335805,1119.3149748314506,
Singapore Grand Prix_2022,1679.1537728357305,1623.87523945822,1594.893905670697,1330.0705525464114,1546.991876744261,1340.7062159311806,1431.231016806497,1074.8010027084613,946.6284636754568,1003.3579621934862,1136.9504508035607,1086.8958210044632,989.9785306847346,1224.2500458024967,1171.14360972844,1036.153784094241,893.034188614113,867.7533166378769,972.948255097122,769.7534152552511,,
Japanese Grand Prix_2022,1733.375370917341,1639.6478765102065,1644.5122124543805,1321.427211645743,1139.5663581671988,1409.2212809527155,1330.3604897264452,1277.647096798228,1137.6677156223752,972.7939437532991,1144.0208537666942,1231.8453654615719,985.0921221351517,998.6055289871097,1137.8512692963511,941.0843122273202,968.2318604354878,877.2669307450693,836.2761120688988,994.0775146211122,,
United States Grand Prix_2022,1774.1161912279597,1645.6865328118045,1623.3024252967616,1390.604056970495,909.1467131469878,1513.4490581005687,1373.6984261779485,1213.6629633154814,1244.547077019428,845.9283620775019,1014.419277203436,1274.0020973973155,1118.174458031841,988.9442804599622,953.5798861400651,939.3125802968191,1084.2614415454334,982.8716014193116,925.7638633381878,905.100134315391,,
Mexico City Grand Prix_2022,1810.9059656681136,1576.6198765047307,1640.7830493162226,1458.294955456234,1151.0062757659177,1584.7249877346449,1320.6010174200312,1252.792229133,981.2324087466432,1016.4812893897558,1164.5264126377565,1124.6827239484792,973.6567015478932,1070.7747210202513,941.5385231077269,907.8855427273861,881.2078909273885,1013.4263016773094,1011.487366824957,837.9431867382583,,
São Paulo Grand Prix_2022,1694.377347926296,1580.307379759494,1547.7251879654966,1580.1440669292188,1328.2980197279048,1635.0685186043586,1039.3978224655762,1286.1202511658391,1192.3266626623797,1130.6326900504412,916.6486294881724,1141.5294030924301,849.8067020502169,1036.3868772277754,1073.549898875275,972.6304981107332,841.0141352804613,1056.6108464140373,972.1848912199312,845.8115972766637,,
Abu Dhabi Grand Prix_2022,1748.6373538402281,1638.8059591147971,1589.449196192256,1558.049209031491,1419.4982335293748,1213.171852366983,1212.8797135864254,1327.038881970869,936.4453134289631,1034.0898371964147,1082.5150648321012,1175.150541428002,832.0321547320326,1007.4827390720914,1189.4447366895113,925.3977702770583,987.5929020804062,1071.466914196973,996.1781596886699,775.2448930380526,,
