race_id,norris,max_verstappen,piastri,russell,leclerc,hamilton,antonelli,albon,sainz,alonso,hulkenberg,hadjar,bearman,lawson,ocon,stroll,tsunoda,gasly,bortoleto,colapinto,doohan
australian_2025,1210.5551120024606,1189.8683070917305,1052.3138689554846,1166.3696297501747,1059.133356878923,1025.581797073461,1140.1223672617748,1116.3851216760993,825.9266051775157,830.5273355568066,1073.717027041302,831.9074060576924,922.3939978507128,837.607830997632,952.4680793689658,1108.4763004435301,975.7566599053796,1004.3328291267261,836.092239652006,,840.4641281316234
chinese_2025,1303.9471991389717,1250.7604725799658,1233.4705761978253,1251.2684454271132,825.0742784782227,817.8686611780972,1179.5999048294118,1145.950568400759,941.3439830787205,725.6347961383009,921.1211144621925,926.1242546465775,1034.4348805224013,897.0408955452536,1107.0171262358742,1084.2470815723254,842.8604117314923,803.8786772559906,837.6488230684464,,870.7078495120578
japanese_2025,1368.708145192819,1355.2774595304659,1299.9279415907192,1264.3881141263337,1062.0544500841593,998.4899063917031,1191.9254934121652,1106.668219812015,886.8674734307092,858.2985156174306,820.2395413915542,1020.3574905743685,1025.012249931526,783.6296675599773,856.6808399491955,796.8274832270833,903.3882120893853,851.8802919244154,713.1415862251935,,836.2369179387817
bahrain_2025,1388.937631875276,1307.364255997294,1393.9686775211585,1343.7329164203966,1180.911199232469,1122.8805477255914,1065.7493810297863,1005.3546488558673,704.231320199149,797.9565618219831,823.8447077675909,899.4309666320637,1023.2142307846184,738.497827469436,993.3884007300669,716.1913112327468,988.7991949515285,1015.6202721178341,633.3000543634532,,856.6258932716903
saudi_arabia_2025,1384.2784577052867,1380.200018682955,1462.3099785402724,1329.0510185231856,1274.4269950803994,1153.5295152085039,1142.9864049788528,1045.2406762959524,904.7861830198206,885.8138687410049,799.2262613285329,956.4521409816609,945.0519788998752,824.4488289174946,902.4863923986672,711.4383257339056,747.571335867584,767.3912719699978,611.5145227496513,,771.7958243763954
miami_2025,1438.0310627621573,1384.4606192505723,1518.8077302344639,1373.588830487148,1236.8133989814328,1146.4013287197404,1185.131097038,1150.3890199681916,984.9829387812763,819.6632887282444,797.1859407070951,959.2116004207777,757.3281110589375,701.296187247477,913.4735767281062,709.0954119506983,878.0695002419711,806.5490012288527,571.0415615732684,,668.4797938915875
emilia_romagna_2025,1485.1313244279777,1470.440957163884,1514.4553493576714,1308.4050078368086,1251.1932802148801,1245.997748897888,857.9724092382405,1226.507514438715,1066.9463316175836,900.5351937902693,864.0602622647006,1022.3874417409995,699.9836265636371,753.6341552769363,718.9933583903521,735.9595707609609,953.8438267491589,839.6195226652259,557.7590714718186,857.6942532407028,
monaco_2025,1548.7542291911575,1456.8756657376396,1514.7444025534242,1159.452353362635,1362.437669206438,1286.5244003319372,730.7938922563458,1162.6423724022484,1050.2042931785659,724.0358759231634,793.4203171977133,1132.6365871959617,814.2701607485905,922.1242937868823,924.4878542870192,733.4276559009759,799.6713305336463,686.5492590712819,663.5897818201818,864.8778114226035,
spanish_2025,1570.9823815649468,1277.6701665606117,1574.2917180128725,1255.8841560386527,1410.6506374083413,1280.166241973394,633.4074876140152,861.7296041861808,940.2051884730759,891.6015355970135,1018.6788616876429,1160.3310363673495,730.0716628085681,950.0265683791314,813.5738746802571,645.2396152507557,834.1690809968009,893.8381601874039,781.3532011020335,807.6490272193635,
canadian_2025,1086.7680470662028,1382.2243040401745,1534.0987646492895,1390.1923579086897,1389.3646353153845,1281.8533309610737,970.6003518548794,711.7276366389144,989.6308263112807,1033.5469039000657,1074.3080143619607,925.7999237921563,858.4166643135517,757.8609837876919,949.8707164306734,639.6851146948028,887.134955923314,824.5326384213041,799.4312291485143,844.472806588486,
austrian_2025,1270.537381270319,976.6643853317265,1552.511154400699,1369.3273551781497,1422.7235374990921,1325.9519102952809,783.9438265086944,651.6776390102254,801.8244803272909,1120.340845397738,1084.4760961630018,936.867843973052,926.1411330071807,994.9624968267756,987.9062055592349,720.842451284196,792.7029767297088,851.8807876686568,961.31025778287,798.9274418945183,
british_2025,1389.3096197625869,1118.1416196165837,1561.9291339759463,1210.5756447213855,1141.3557051300888,1350.6866797918703,714.1081714809876,875.6882970350873,868.7532855584627,1094.3393264804215,1223.2521557893115,788.439451809658,954.2678703694484,819.8523224138178,943.7881634100038,936.7381141697689,795.3202618883223,1029.226175768428,797.6887911448958,718.0594157913353,
belgian_2025,1441.5887280100335,1224.2182765043933,1594.9015448555458,1253.3369825102457,1254.0758596011542,1284.8298931287547,709.80039925523,1046.2619624420918,747.1650029346049,880.1029652525153,1075.1521701361307,660.5262081808662,971.349853593321,987.5110917815759,857.734260059989,883.6949739565342,840.0615122915092,1034.70358502176,944.1847889110309,640.3201476811238,
hungarian_2025,1508.3509659633924,1151.5223978214515,1598.6249966270755,1330.528280037381,1305.1105845581005,1113.5306819814223,860.1086491944804,928.4273125874817,794.7089794164258,1069.7274299804722,978.5080351490906,804.7170060658098,744.8534191606765,1041.9622442292934,807.5774830471313,1014.7507453524358,767.5386966365536,806.627308723461,1081.3131469964708,623.0318425798043,
dutch_2025,1045.0085594924742,1294.92104653853,1631.7446605570328,1352.7060726008406,935.6778177341785,853.165349655727,803.0567027626282,1118.715033282058,841.3149244199238,1108.4705472130397,909.8247196723539,1091.3427630085766,994.259595238292,970.5825641900688,920.9793328151728,1093.0412723985949,923.2855208858713,734.5884403974621,915.2112429038308,793.624040341755,
italian_2025,1219.2704355245546,1389.1617726094048,1592.9421190878563,1332.4269974724555,1121.1460253621872,1040.7407525336998,941.330501713362,1141.1056356556528,911.6500518328792,810.6066191873637,728.8211315894454,1062.1619290397816,973.0290354660266,909.2595773822451,862.1863366863622,854.3776146380249,923.0556449030875,743.9500439764636,1033.2341276971958,741.0638537503625,
azerbaijan_2025,1192.7428358358616,1463.3502661727903,1067.1933585989511,1404.5534243111344,1110.6664691112485,1090.2824555465943,1131.2617372850584,1015.6648167664457,1137.1519189472972,809.8073995029322,741.2068992805936,1056.3646739419646,958.9161582509694,1090.3849463666422,855.369567544743,780.0826447445124,1068.7611753575684,688.1634659025057,1013.37856490859,656.2174277320084,
singapore_2025,1289.9625640008544,1484.813198341647,1199.106537510361,1466.4626295687117,1175.2519225859062,1142.7836623013973,1203.0860199163235,931.1784218543777,1092.8693052574984,975.4819824501141,621.6481978309566,1028.9385011720185,1026.7305077255714,940.4921548111122,741.6558546457217,838.2214392484124,1011.764693842826,618.0175574629225,852.9881667482834,690.066888833395,
united_states_2025,1377.3678730346603,1534.8812341686905,1249.802035468397,1389.4122102626102,1282.2631175331978,1237.3732414193148,1040.0259969288602,889.7492104305248,807.4164107812935,1014.3435818473331,861.6194807712008,889.7470459866381,1059.8870730269489,965.1897479312532,764.2352427348591,882.6321446914478,1101.4028151731918,567.4985445638524,737.7117831899586,678.961416164178,
mexican_2025,1463.1107760287514,1521.6317361872002,1277.8152992832518,1313.9976495435524,1374.6546502365659,1201.2396494413051,1134.109856894257,902.4018543484563,689.7287153001208,800.6903962835456,729.2816616411544,893.0884665414875,1196.2421306644346,783.2666441013166,931.3722428986348,860.2248191671595,1047.0543708241707,649.219631360138,880.5040203364355,681.8856350264742,
brazilian_2025,1528.7943632393506,1514.9075598973816,1302.7017617169975,1347.9248114599197,972.5965421948379,893.5119712320114,1290.8061172516548,947.7226042848386,783.9909326791249,823.365158451888,901.2735909582949,1007.2703770432219,1223.9132956260437,968.2273769886773,919.226191888815,783.3611832869482,850.8257226473746,825.2335280642317,722.1254976365832,723.741619560216,
las_vegas_2025,1083.6102615926925,1568.907891880362,964.8895943301667,1425.5729644435269,1153.2817257720528,1019.5853846921624,1354.158778187171,792.4038788197063,1030.3757685826818,909.1287870759147,1036.971246229298,1111.6223154772117,1122.706212908466,892.8852998228083,1002.0681252827454,702.3478366319745,895.8077299916048,852.6135923319323,667.8527823421341,744.7300297137995,
qatar_2025,1203.169239066944,1599.8364007267453,1177.4172382268998,1354.2737762668216,1148.3180086160785,984.719260217996,1334.2283656442075,890.00703072224,1185.7997942528605,1038.6460645590453,779.9609519760218,855.7952647788254,833.8107035459205,1005.0214487463622,898.5700558415585,689.5099880517985,977.850504529688,797.8463920751598,783.5846829340172,793.1550353292212,
abu_dhabi_2025,1296.8708989887195,1626.3387001357396,1299.032947828229,1338.1329698870395,1236.9269524319977,1052.0214605173626,1046.5249346328662,819.2181745200838,1031.020469031935,1140.6338751783642,932.711431669551,778.8571093431847,877.8267137069215,829.2179201712702,1039.673615996667,855.7095301913203,897.8637981813642,694.1205387052178,878.4988297341442,660.319335256434,
