race_id,max_verstappen,perez,hamilton,alonso,leclerc,norris,sainz,russell,piastri,stroll,gasly,ocon,albon,tsunoda,bottas,hulkenberg,ricciardo,zhou,kevin_magnussen,lawson,sargeant,de_vries
Bahrain Grand Prix_2023,1789.1501053690083,1642.6480090005487,1330.4510023501152,1214.6052795753033,1187.9316975152244,1019.6694985004603,1477.5677038856404,1487.15829263032,860.1280792536851,1305.800946651728,1141.6032250657297,1056.118482308751,1117.8918368603727,1085.8441299250699,1176.6011929689482,979.2976537849162,,977.2461414872442,941.4484300087587,,1059.374947466751,1055.378539443792
Saudi Arabian Grand Prix_2023,1789.265629754817,1701.1227374052169,1395.3210778274004,1371.313447277265,1271.0788841444494,928.2543546959976,1454.067549156127,1510.2066226011445,895.093316408468,997.3497627084822,1208.394706250565,1185.4329642061452,932.7053181981101,1126.5221924845473,988.8564076749218,1051.644899507801,,1020.4190719550098,1079.0117382650444,,974.2657722589994,1025.588741271855
Australian Grand Prix_2023,1821.5841902162917,1638.7521626381872,1508.0527255077495,1466.9268552815934,984.0274167856564,1159.5328466240037,1279.4477212622514,1147.1648880890652,1105.3330775486127,1236.525819622072,1133.9494873480587,1102.6978912709828,843.5875694970742,1169.0973026136573,1075.4514685038607,1204.351618797021,,1136.005795976632,957.043861786561,,938.9376835566175,997.4448111264179
Azerbaijan Grand Prix_2023,1816.6064825766077,1698.0281641741763,1476.8897694569184,1500.1240679726898,1245.1552346409812,1214.5881489276578,1355.8260412440768,1222.5768581578354,1135.509001473489,1286.326882670177,1070.6102432684177,1034.1450695034425,972.4983083149426,1183.3085276301133,933.8404282178443,1024.9875016615074,,944.8823231298778,1014.7082490465309,,927.6643817732337,847.639510211847
Miami Grand Prix_2023,1844.5059953016955,1720.9385217515267,1458.1773020704495,1551.8767724712616,1302.8988894308543,1029.2891433222514,1409.784627734212,1354.3918843585748,941.6866460077941,1197.3307617507967,1193.799865920003,1146.9687871669648,985.5837037412585,1164.8935146149086,988.3408031231884,984.4939367048897,,914.9386019495746,1106.4321873415533,,800.3841292341625,809.1991200564473
Monaco Grand Prix_2023,1871.6869856781186,1333.831849497864,1504.763767166618,1621.3123882168975,1359.9812269236952,1145.297531275471,1369.699917579094,1412.830325083268,1072.0497012870883,940.790396420247,1275.9339699729985,1335.7090036478598,985.329100025417,1053.573818592518,1076.0017831257019,918.1607463550544,,974.8655251061393,923.3454769694288,,784.3818316474543,946.3698494814347
Spanish Grand Prix_2023,1891.90970012708,1425.1201004968573,1580.7871615684799,1526.1105599485861,1263.0606981864846,1003.0540046671783,1427.8284586830803,1499.4578183728895,1068.9994078818152,1155.8186060805394,1237.3928134994092,1328.4576334303276,935.7204813892333,1077.6039721447407,910.4636283141173,928.047906012705,,1106.7251630335834,854.2979097926001,,711.623763281846,973.4354071408148
Canadian Grand Prix_2023,1911.1611034289444,1439.8760035737623,1613.3897227063717,1600.1568055433165,1384.6409591343136,1028.1849365668581,1456.7362915097126,1115.020871744879,1114.752800122809,1209.0297920130981,1177.2940262874647,1329.098526738623,1133.5142257210152,1045.9640857092427,1043.1436218238468,934.1892011710805,,1002.1685661859351,835.6506478339783,,655.3262985280744,876.6167077090423
Austrian Grand Prix_2023,1929.6571669360135,1517.7846557920618,1502.6625164426353,1575.5622567100104,1506.70555359215,1246.2924626296467,1449.04637998758,1229.6518118132426,1003.2586719945548,1239.7463377411743,1197.068012893572,1162.4931698390787,1151.283133817834,884.4178448699596,995.5289602636369,801.8885967109603,,1059.3051866082135,795.9665707451827,,809.4748815578156,848.1210231070453
British Grand Prix_2023,1946.1796745389079,1491.475198495943,1560.3863118486997,1503.3392602826762,1408.577427007475,1422.946357421396,1349.7362826986605,1341.6432599402526,1229.6845741576308,1118.350852472787,988.4519475180209,924.924805679628,1237.6126576317054,884.4196219377586,1051.1638662632229,906.7398506765588,,1004.7029512248836,743.1113099384435,,965.784371507776,826.6846128099423
Hungarian Grand Prix_2023,1960.5115815472655,1553.3904757964979,1574.2538752989685,1410.1058348596002,1404.9980738195081,1535.5239183651736,1346.100969367954,1387.7768490394672,1345.8701337066564,1171.5696695211195,829.5234477857122,820.7436469723754,1216.4625152253172,914.7284432711908,1088.7973511673858,949.445883676624,1075.1327788199003,950.0009579572095,759.9800853915879,,866.8291544850144,
Belgian Grand Prix_2023,1975.5579361630002,1628.5992053064235,1590.8266834405977,1463.1867704388799,1503.2892870906962,1484.8620588505148,1037.3542181867192,1426.854727372807,1022.4212973844265,1234.5445162833003,986.1238908088524,1045.53312681865,1112.2583424965376,1053.250821201148,1098.0383341232211,850.8709779088455,981.1413816473824,999.9897377577786,831.3456374270224,,835.6966953677254,
Dutch Grand Prix_2023,1990.5895274545383,1625.06409051975,1545.8209207217278,1564.6228816332934,1125.2647923687714,1456.3690005768979,1234.5084808970225,1139.8465714118374,1148.2418113391839,1211.8865680405152,1247.7960072590936,1131.0798048422955,1210.0788133788337,999.2916285039504,1049.5910738044636,973.6180323635308,,895.9860164423637,851.7242298424178,1028.3019211380101,750.9220918886492,
Italian Grand Prix_2023,2003.0282251560786,1674.011650493617,1509.6562544872581,1443.2835925763327,1306.791419767736,1399.4004812622195,1389.1220531094427,1288.040021400329,1125.6335955129966,1052.2948027169098,1097.0869293705996,941.4737981201541,1292.8331797614712,852.3598141957889,1144.2842489066184,917.2239632986585,,944.6692994750215,816.5748730664034,1101.4577117896429,881.3783499598676,
Singapore Grand Prix_2023,1890.195222285153,1543.614987981193,1564.9409687883408,1199.0453927481872,1419.289962991722,1519.3276842994344,1536.8895216317972,1095.114777037339,1247.3768607437992,881.4110617683891,1256.0176651140223,868.2985156092249,1233.4540414563082,792.7097789191434,1007.8650013464991,984.9597382990003,,1026.5529797698591,1002.1550001309613,1188.3354312632493,923.0496722435231,
