race_id,hamilton,bottas,max_verstappen,leclerc,vettel,sainz,gasly,albon,ricciardo,perez,norris,raikkonen,kvyat,hulkenberg,stroll,kevin_magnussen,giovinazzi,grosjean,kubica,russell
albert_park_2019,1777.4132113509067,1589.0677879526374,1664.4852115987646,1324.6845613379687,1569.650193704171,906.5487070535087,1010.7112783047685,993.8350074400746,993.5456368897227,1095.990599820102,1044.4107741863038,1203.3570535593863,1080.7693576919742,1043.3011086489414,1048.8426151974081,1197.5719016741211,956.5479131492309,919.2829220647948,901.9815965162039,936.2170522904679
bahrain_2019,1810.8684913619031,1636.0207219352235,1636.4561924783436,1423.5302412810547,1538.8885563769143,808.6052615305273,1137.4441664918463,1105.652645141423,869.1843095685527,1137.0807871824786,1192.9997297588022,1251.1311757796848,1069.2377611250856,910.8953493867156,1005.6785520201382,1108.2016068615312,1038.3773336747206,782.7848426805783,872.3305072510419,922.8462585448926
shanghai_2019,1841.131590310679,1675.5757522048602,1619.1629135335638,1447.4865183676025,1577.335454400264,877.2552886792757,1246.8444936377755,1136.4173311768532,1072.4027544700014,1191.691420511853,955.8858354578805,1234.7944424725586,877.3212847787466,774.9558239160626,1036.3656213760507,1061.0502040462413,980.7896417359597,940.3006334298753,825.2308378037795,886.2166481215743
baku_2019,1840.6420975759652,1736.1385408430126,1610.741727815458,1465.6495668953257,1609.0282327262676,1077.1444927307466,1012.8962977851837,1125.6743339151642,857.6284171425368,1281.2054192408445,1103.873330603585,1200.0128494807132,775.4921971856417,855.387394302412,1119.6369268553099,1030.6473043726696,1017.368226205415,832.263384100981,820.3323434394032,886.4514072148229
catalunya_2019,1871.9663078742183,1759.5309447478235,1636.4678292594692,1478.4813173238845,1607.3990372783653,1161.7320996895776,1171.755893343271,1104.8850010814629,940.3604571915298,1091.4400942270056,866.0423003411917,1082.4099366895684,976.8220007207148,922.8399538968969,898.5862438917876,1160.2837581915426,939.9957244897657,978.8764775045073,768.8976154640012,839.4414972248758
monaco_2019,1900.4526777945803,1749.4039018051355,1628.5265760426073,1061.6183597377637,1664.3491917175465,1264.2078065269936,1288.8575478693133,1179.4433272906526,1069.2267357689652,1070.9009203556645,975.0311861555961,931.0892057276277,1129.5541245382406,958.8940739590633,860.4900370404057,1053.1246092973365,805.8225185630432,1066.3135009160897,738.2359978553865,862.6721914694471
villeneuve_2019,1925.3094847492105,1713.2820146123772,1594.8810623104891,1259.9297008608173,1702.1261670361132,1185.156897192454,1278.4106066161678,925.8223492249693,1209.573745459132,1067.4667758199223,806.7218682523364,919.7060328091177,1144.5832140592724,1124.9101170133542,1021.308467690879,915.3895312946671,898.4216853304393,1006.5109882531351,712.1761387304322,846.5276431161712
ricard_2019,1946.913216921248,1743.8546912939871,1596.7359577798954,1385.35355631595,1646.505923238303,1272.3130387758151,1222.916839409144,919.5792675404347,1163.3414593843675,1066.0788869071407,982.6202480711719,1091.1575486239549,1045.0776311075945,1180.0603518819687,1006.8514540512402,850.1474781350628,869.2480846605896,810.173451865853,702.5474055471501,756.7379989205858
red_bull_ring_2019,1845.0056491148137,1741.9645359197405,1684.2190835858455,1499.1518565185886,1634.534013704527,1279.5759915695048,1271.5796469299778,905.786707367477,1112.497184011074,1082.1943788816204,1151.869528720139,1144.8692230467216,915.8055446815225,1094.859867426232,976.1463160017574,753.9931295613959,997.8716625583936,812.9834316231344,628.1281978698416,725.1785413391498
silverstone_2019,1879.8990379493562,1769.7576631693669,1639.2036317864695,1562.2320791023817,1274.531119548032,1343.7071250228205,1382.4531047072198,973.457897426135,1214.3508195295738,938.3288838007824,1132.756853208279,1210.5436214799158,1048.6593142486918,1122.1259881926983,982.9824077815098,660.6710201197621,866.8727596030712,732.629258023848,714.0278179128475,809.0240878186953
hockenheimring_2019,1657.261896141287,1389.5569958591861,1718.029518477102,1198.7549279795417,1441.0252227088013,1397.294684179245,1167.084060531809,1161.8686138009698,972.0185740314349,810.6506995588167,963.3408198950355,1140.4295615742135,1289.2272160453756,1003.0416559803717,1223.812967783394,939.7582423688538,924.7575320140472,1008.0445583902481,916.1103453644766,936.1463977472458
hungaroring_2019,1707.1476605959763,1347.9594590555753,1727.3609479681566,1331.9190009106226,1498.5059314174948,1421.0352962130837,1265.867185244871,1173.2646896143117,981.3114065144902,963.0568165209075,1083.9823101727964,1216.0850576563746,1103.7033768875528,1037.6727841650127,1016.5645757989946,981.1202287437642,842.4226190805769,829.8611545223177,815.4766458666776,913.8973434818976
spa_2019,1721.7984795146344,1445.1009154241701,1200.7215151143675,1485.4618766378435,1521.545715474457,1056.9486970448452,1260.0476579614042,1311.2924189152584,985.5746603643886,1171.5283651671878,1110.8177643276135,1041.6714229589984,1223.6637056253585,1159.9003485097446,1100.4089874092674,1030.7703379646628,790.2632808475171,921.5423987558199,803.3425914747936,915.813350939123
monza_2019,1698.6203882428772,1525.5108708552327,1238.004594693807,1574.8073970913597,1279.688609067874,867.8807225484857,1203.512677405053,1350.7761140897574,1224.4619188135694,1245.219476999632,1142.3237319864738,988.623707820015,966.0551874258347,1291.6020933502825,1097.3343719073287,903.5242022875548,1003.3171793620972,901.9652841124106,802.5481535088222,952.4378088629891
marina_bay_2019,1652.415645345092,1509.437187572501,1376.9550327631491,1612.4213173454368,1441.241050100658,963.5092226054529,1243.299019813776,1371.0080388447943,1096.3174425851569,982.7712060474059,1240.2029158424907,881.8061042545643,953.4867004506442,1272.476672020139,1065.959117808314,861.6850027834442,1095.0924069211055,1006.9948610599026,824.3878175592988,806.7477287081302
sochi_2019,1704.3608710313679,1576.1415050403148,1442.0105002378482,1619.6303356900953,1098.5008864604827,1166.4209881591748,1113.3112620175953,1415.5110609839057,913.202743450833,1157.3521958979372,1266.6481975101901,949.4000650332711,1009.5933881893334,1224.3669446328004,1091.860897310061,1034.148489853808,1006.1992642186661,834.3113428949835,839.0207871954669,796.2227646233202
suzuka_2019,1690.491214233996,1648.879357199717,1094.4912530438116,1548.0412842131702,1322.3915053647481,1294.5174396309399,1223.700145330728,1458.772555911672,809.2149005127269,1222.7562105170184,1199.6026891088327,1017.5521437504237,1092.5443497755416,940.5569666831378,1166.5715614184508,978.9970480275977,993.9563981298643,927.4935213345188,810.4600043442849,817.2239419002751
rodriguez_2019,1735.3790982712048,1648.0090571303126,1233.4846165473004,1549.6979339742136,1447.5741729808217,1166.2584299191517,1233.9267564896356,1464.0881386319352,1024.5788829772423,1271.1194716272937,916.204198286131,857.4613473801094,1116.3848343846375,1059.6291981838406,1122.625575185078,953.7676592116508,989.3676212330507,865.1146208148283,768.9027137816865,834.6401634213312
americas_2019,1746.5223843225235,1705.6439474965998,1376.4171847548273,1553.7969695292595,1042.5549652885577,1228.6105263244924,1055.5588986798466,1477.1000583196671,1198.484256386848,1231.7546327707737,1112.0575471729203,985.5601612243447,1095.1168197135005,1137.536766051748,1070.0545394043686,849.3219665812363,979.8585994076125,883.2249434264749,713.918497374426,815.1208262014279
interlagos_2019,1603.5853914455734,1194.529298249417,1519.8981643115815,1162.0227994372567,934.9054163076128,1389.398274155939,1311.1703058393996,1221.7393588494594,1291.1191461929848,1243.164715170848,1207.1607022584026,1231.6170729176313,1145.641315849362,1030.7290864374686,911.9079584166807,998.5499999584194,1201.132862875822,950.0172502410139,769.214392097299,940.710979419284
yas_marina_2019,1654.3519494554057,1337.7969440871407,1566.227713804961,1333.2072254466257,1174.2607516066157,1282.7672524910029,1034.7524864330403,1304.576541434487,1220.1898563359896,1291.376396913688,1247.5184214402161,1140.773417307452,1193.2565163501847,1069.3486977331484,787.581153913559,1005.081961455086,1044.2168772313546,952.8585004892822,728.9735896323948,889.0982368698208
